ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
ABW,tas_annual,ssp2-45,Historical 1986-2005,79.4163900971728,79.6198793737205,79.7571414890009
ABW,tas_annual,ssp2-45,Next decades 2020-2039,80.5408843642591,80.9818151098652,81.4658634776681
ABW,tas_annual,ssp2-45,Midcentury 2040-2059,81.2329341306154,81.6014073141075,82.201943200389
ABW,tas_annual,ssp2-45,End of century 2080-2099,81.4284587036612,82.4476117028918,83.406224126345
AFG,tas_annual,ssp2-45,Historical 1986-2005,52.2233177344284,52.7706236809644,53.2277962903027
AFG,tas_annual,ssp2-45,Next decades 2020-2039,54.4610798319418,55.0670866429192,56.3131622520716
AFG,tas_annual,ssp2-45,Midcentury 2040-2059,55.4810158060719,56.5076331075758,57.6659260212447
AFG,tas_annual,ssp2-45,End of century 2080-2099,56.404027711647,58.1661029415839,60.392099015663
AGO,tas_annual,ssp2-45,Historical 1986-2005,72.809410240222,73.0561832292188,73.3378379025787
AGO,tas_annual,ssp2-45,Next decades 2020-2039,74.2308488062918,74.5508974669742,74.9625046384092
AGO,tas_annual,ssp2-45,Midcentury 2040-2059,74.8394924002147,75.3731647290764,76.2063221856812
AGO,tas_annual,ssp2-45,End of century 2080-2099,75.4966761156121,76.4627048576668,77.6831337368799
AIA,tas_annual,ssp2-45,Historical 1986-2005,78.2544931108578,78.6718073865355,78.7760848656581
AIA,tas_annual,ssp2-45,Next decades 2020-2039,79.5830545129782,79.9932252532465,80.3136092914185
AIA,tas_annual,ssp2-45,Midcentury 2040-2059,79.9768981704688,80.5433974070891,81.1187417893168
AIA,tas_annual,ssp2-45,End of century 2080-2099,80.5713396479993,81.3590208779667,82.5215393533877
ALA,tas_annual,ssp2-45,Historical 1986-2005,41.4233341489194,43.0094602850864,43.9658050000998
ALA,tas_annual,ssp2-45,Next decades 2020-2039,44.5976052310551,45.6451130482229,47.2669693530497
ALA,tas_annual,ssp2-45,Midcentury 2040-2059,45.4446462877693,46.7803476220263,49.0992048958629
ALA,tas_annual,ssp2-45,End of century 2080-2099,46.064983856215,47.8671147857047,50.1548717357945
ALB,tas_annual,ssp2-45,Historical 1986-2005,54.6786189561541,55.0740207754643,55.7966420037145
ALB,tas_annual,ssp2-45,Next decades 2020-2039,57.2035797161543,57.7512057875138,58.7652927360494
ALB,tas_annual,ssp2-45,Midcentury 2040-2059,57.6629536877986,58.6769142096693,59.9480831581076
ALB,tas_annual,ssp2-45,End of century 2080-2099,58.3382525126294,59.9538897096262,61.7632854183082
AND,tas_annual,ssp2-45,Historical 1986-2005,42.9229863635346,43.7387779437014,44.3457124339961
AND,tas_annual,ssp2-45,Next decades 2020-2039,45.3904820663064,45.9630766134898,46.5964145735801
AND,tas_annual,ssp2-45,Midcentury 2040-2059,45.9911213237457,46.7049014243149,47.9901009018189
