STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,duration,Duration,c_dest,Country of destination,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AL,Albania,2017,,460935,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AL,Albania,2018,,537715,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AL,Albania,2019,,428922,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AL,Albania,2020,,367841,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AL,Albania,2021,,422757,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AL,Albania,2022,,526946,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AT,Austria,2015,,4195713,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AT,Austria,2016,,4292276,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AT,Austria,2017,,4324150,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AT,Austria,2018,,4677125,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AT,Austria,2019,,4737592,,,,,
dataflow,ESTAT:TOUR_DEM_TOTOT$DEFAULTVIEW(1.0),Persons participating in tourism for personal purposes by duration of the stay and destination,A,Annual,N1-3,From 1 to 3 nights,WORLD,All countries of the world,NR,Number,AT,Austria,2020,,3601182,,,,,
